x_m,y_m,w_tr_right_m,w_tr_left_m,banking_rad
-281.9256,-2238.4167,8.9764,6.6495,-0.1039
-280.4650,-2242.1363,9.0569,6.6495,-0.1110
-278.9474,-2245.8328,9.1372,6.6493,-0.1178
-277.3730,-2249.5055,9.2171,6.6489,-0.1244
-275.7422,-2253.1534,9.2963,6.6494,-0.1286
-274.0555,-2256.7757,9.3737,6.6498,-0.1345
-272.3132,-2260.3715,9.4498,6.6500,-0.1400
-270.5158,-2263.9401,9.5248,6.6501,-0.1450
-268.6637,-2267.4806,9.5983,6.6500,-0.1494
-266.7574,-2270.9921,9.6701,6.6498,-0.1532
-264.7973,-2274.4738,9.7400,6.6494,-0.1562
-262.7838,-2277.9249,9.8077,6.6498,-0.1579
-260.7175,-2281.3446,9.8721,6.6501,-0.1597
-258.5988,-2284.7322,9.9339,6.6503,-0.1606
-256.4283,-2288.0867,9.9931,6.6504,-0.1609
-254.2064,-2291.4076,10.0493,6.6503,-0.1609
-251.9336,-2294.6939,10.1026,6.6501,-0.1609
-249.6105,-2297.9449,10.1529,6.6496,-0.1609
-247.2376,-2301.1599,10.2000,6.6497,-0.1609
-244.8154,-2304.3380,10.2425,6.6498,-0.1610
-242.3446,-2307.4785,10.2814,6.6498,-0.1610
-239.8257,-2310.5806,10.3166,6.6496,-0.1611
-237.2592,-2313.6437,10.3481,6.6494,-0.1612
-234.6458,-2316.6670,10.3755,6.6491,-0.1613
-231.9862,-2319.6496,10.3990,6.6487,-0.1613
-229.2809,-2322.5909,10.4185,6.6489,-0.1614
-226.5306,-2325.4901,10.4328,6.6493,-0.1615
-223.7360,-2328.3466,10.4430,6.6494,-0.1616
-220.8978,-2331.1597,10.4490,6.6495,-0.1617
-218.0166,-2333.9286,10.4508,6.6494,-0.1618
-215.0930,-2336.6528,10.4485,6.6492,-0.1619
-212.1280,-2339.3316,10.4420,6.6488,-0.1620
-209.1220,-2341.9643,10.4314,6.6490,-0.1621
-206.0759,-2344.5503,10.4157,6.6493,-0.1622
-202.9903,-2347.0890,10.3958,6.6495,-0.1623
-199.8660,-2349.5799,10.3719,6.6496,-0.1624
-196.7037,-2352.0223,10.3443,6.6494,-0.1625
-193.5042,-2354.4157,10.3124,6.6493,-0.1626
-190.2683,-2356.7594,10.2769,6.6489,-0.1627
-186.9967,-2359.0529,10.2378,6.6491,-0.1628
-183.6903,-2361.2957,10.1942,6.6494,-0.1629
-180.3497,-2363.4873,10.1470,6.6496,-0.1629
-176.9758,-2365.6271,10.0965,6.6497,-0.1630
-173.5694,-2367.7146,10.0429,6.6496,-0.1631
