x_m,y_m,w_tr_right_m,w_tr_left_m,banking_rad
271.5452,673.3807,7.6956,7.6923,-0.1571
271.3608,673.2081,7.6958,7.6927,-0.1571
271.1765,673.0353,7.6963,7.6930,-0.1571
270.9924,672.8624,7.6965,7.6933,-0.1571
270.8085,672.6894,7.6969,7.6935,-0.1571
270.6247,672.5163,7.6971,7.6937,-0.1571
270.4411,672.3430,7.6974,7.6939,-0.1571
270.2577,672.1696,7.6976,7.6941,-0.1571
270.0743,671.9960,7.6979,7.6942,-0.1571
269.8912,671.8223,7.6980,7.6944,-0.1571
269.7082,671.6484,7.6982,7.6945,-0.1571
269.5253,671.4744,7.6983,7.6947,-0.1571
269.3425,671.3002,7.6984,7.6948,-0.1571
269.1598,671.1259,7.6985,7.6949,-0.1571
268.9772,670.9514,7.6986,7.6950,-0.1571
268.7947,670.7768,7.6986,7.6951,-0.1571
268.6123,670.6020,7.6987,7.6952,-0.1571
268.4301,670.4270,7.6988,7.6953,-0.1571
268.2478,670.2519,7.6989,7.6953,-0.1571
268.0657,670.0766,7.6990,7.6954,-0.1571
267.8838,669.9013,7.6990,7.6955,-0.1571
267.7019,669.7258,7.6991,7.6956,-0.1571
267.5201,669.5502,7.6991,7.6956,-0.1571
267.3385,669.3745,7.6992,7.6956,-0.1571
267.1570,669.1987,7.6991,7.6956,-0.1571
266.9756,669.0228,7.6991,7.6956,-0.1571
266.7943,668.8469,7.6989,7.6956,-0.1571
266.6131,668.6709,7.6987,7.6956,-0.1571
266.4320,668.4947,7.6984,7.6955,-0.1571
266.2510,668.3185,7.6980,7.6954,-0.1571
266.0700,668.1422,7.6975,7.6952,-0.1571
265.8891,667.9657,7.6970,7.6949,-0.1571
265.7083,667.7892,7.6963,7.6945,-0.1571
265.5275,667.6126,7.6957,7.6939,-0.1571
265.3469,667.4360,7.6948,7.6932,-0.1571
265.1663,667.2592,7.6939,7.6924,-0.1571
264.9858,667.0824,7.6929,7.6914,-0.1571
264.8055,666.9056,7.6919,7.6903,-0.1571
264.6253,666.7287,7.6907,7.6891,-0.1571
264.4453,666.5518,7.6896,7.6878,-0.1571
264.2654,666.3749,7.6883,7.6865,-0.1571
264.0856,666.1979,7.6870,7.6851,-0.1571
263.9060,666.0209,7.6857,7.6837,-0.1571
263.7265,665.8437,7.6844,7.6823,-0.1571
263.5470,665.6665,7.6830,7.6809,-0.1571
263.3677,665.4892,7.6817,7.6796,-0.1571
263.1884,665.3117,7.6802,7.6782,-0.1571
263.0092,665.1341,7.6789,7.6769,-0.1571
262.8300,664.9563,7.6776,7.6756,-0.1571
262.6508,664.7784,7.6763,7.6743,-0.1571
262.4717,664.6004,7.6751,7.6731,-0.1571
262.2927,664.4223,7.6740,7.6719,-0.1571
262.1137,664.2441,7.6729,7.6708,-0.1571
261.9348,664.0657,7.6720,7.6697,-0.1571
261.7560,663.8873,7.6712,7.6688,-0.1571
261.5773,663.7088,7.6705,7.6678,-0.1571
261.3988,663.5302,7.6698,7.6669,-0.1571
261.2203,663.3515,7.6692,7.6660,-0.1571
261.0420,663.1727,7.6686,7.6653,-0.1571
260.8638,662.9938,7.6680,7.6645,-0.1571
260.6858,662.8149,7.6674,7.6638,-0.1571
260.5078,662.6358,7.6669,7.6631,-0.1571
260.3300,662.4566,7.6663,7.6625,-0.1571
260.1523,662.2772,7.6658,7.6618,-0.1571
259.9746,662.0977,7.6652,7.6612,-0.1571
259.7971,661.9181,7.6647,7.6606,-0.1571
259.6196,661.7383,7.6642,7.6601,-0.1571
259.4422,661.5583,7.6637,7.6596,-0.1571
259.2649,661.3782,7.6632,7.6591,-0.1571
259.0876,661.1979,7.6627,7.6586,-0.1571
258.9104,661.0174,7.6622,7.6583,-0.1571
258.7333,660.8367,7.6617,7.6578,-0.1571
258.5563,660.6560,7.6612,7.6575,-0.1571
258.3793,660.4751,7.6607,7.6571,-0.1571
258.2025,660.2940,7.6602,7.6567,-0.1571
258.0258,660.1129,7.6597,7.6563,-0.1571
257.8492,659.9316,7.6593,7.6560,-0.1571
257.6727,659.7502,7.6588,7.6555,-0.1571
257.4963,659.5687,7.6584,7.6552,-0.1571
257.3201,659.3871,7.6579,7.6548,-0.1571
257.1440,659.2054,7.6576,7.6545,-0.1571
256.9680,659.0236,7.6572,7.6541,-0.1571
256.7922,658.8417,7.6569,7.6538,-0.1571
256.6164,658.6596,7.6565,7.6535,-0.1571
256.4409,658.4775,7.6563,7.6532,-0.1571
256.2654,658.2952,7.6558,7.6528,-0.1571
256.0901,658.1128,7.6555,7.6525,-0.1571
255.9150,657.9302,7.6550,7.6522,-0.1571
255.7399,657.7475,7.6547,7.6519,-0.1571
255.5650,657.5648,7.6543,7.6515,-0.1571
255.3903,657.3819,7.6540,7.6512,-0.1571
255.2156,657.1988,7.6535,7.6509,-0.1571
255.0411,657.0157,7.6532,7.6505,-0.1571
254.8668,656.8324,7.6528,7.6502,-0.1571
254.6925,656.6490,7.6526,7.6499,-0.1571
254.5184,656.4656,7.6522,7.6495,-0.1571
254.3445,656.2820,7.6520,7.6493,-0.1571
254.1706,656.0983,7.6518,7.6490,-0.1571
253.9968,655.9145,7.6516,7.6489,-0.1571
253.8232,655.7306,7.6514,7.6488,-0.1571
253.6497,655.5466,7.6513,7.6487,-0.1571
253.4763,655.3625,7.6513,7.6488,-0.1571
253.3029,655.1784,7.6513,7.6489,-0.1571
253.1297,654.9941,7.6513,7.6491,-0.1571
252.9566,654.8099,7.6513,7.6493,-0.1571
252.7835,654.6255,7.6514,7.6498,-0.1571
252.6105,654.4411,7.6516,7.6502,-0.1571
252.4376,654.2567,7.6519,7.6509,-0.1571
252.2647,654.0722,7.6524,7.6515,-0.1571
252.0919,653.8877,7.6532,7.6525,-0.1571
251.9191,653.7031,7.6540,7.6534,-0.1571
251.7464,653.5185,7.6551,7.6545,-0.1571
251.5736,653.3340,7.6563,7.6556,-0.1571
251.4009,653.1494,7.6576,7.6568,-0.1571
251.2283,652.9647,7.6591,7.6581,-0.1571
251.0556,652.7801,7.6606,7.6595,-0.1571
